index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo;
4033;tt0090830;1890;72;15987;70;Children of a Lesser God;[18, 10749];['US'];1986;119;['William Hurt', 'Marlee Matlin', 'Piper Laurie', 'Philip Bosco', 'Allison Gompf', 'John F. Cleary', 'John Limnidis'];['Randa Haines'];Children of a Lesser God;James, a new speech teacher at a school for the deaf, falls for Sarah, a pupil who decided to stay on at the school rather than venture into the big bad world. She shuns him at first, refusing to read his lips and only using signs.;Love has a language all of its own.;E0AMKG31wME;/tWMuw7YWWDpD9Iv652vfKELPZPR.jpg;https://image.tmdb.org/t/p/original/tWMuw7YWWDpD9Iv652vfKELPZPR.jpg;11;False;False;True;False;
4034;tt0068369;82465;60;1251;60;Child's Play;[18, 27, 9648];['US'];1972;100;['James Mason', 'Robert Preston', 'Beau Bridges', 'Ron Weyand', 'Charles White', 'David Rounds', 'Kate Harrington'];['Sidney Lumet'];Child's Play;At an exclusive boys' school, a new gym teacher is drawn into a feud between two older instructors, and he discovers that everything at the school is not quite as staid, tranquil and harmless as it seems.;You only lose once.;;/uFipE5vBAWKLHkpVF4SgZxaz3to.jpg;https://image.tmdb.org/t/p/original/uFipE5vBAWKLHkpVF4SgZxaz3to.jpg;14;False;False;True;False;
4035;tt0099252;136946;56;409;60;Child in the Night;[18, 9648, 53];['US', 'IT'];1990;95;['JoBeth Williams', 'Tom Skerritt', 'Season Hubley', 'Mike Pniewski', 'Tim Choate', 'Thom Bray', 'Elijah Wood'];['Mike Robe'];Child in the Night;A child psychologist, Hollis who's marriage collapsed after she learned she was barren, bonds with Luke Winfield, who witnessed his father's murder at the hands of rain-slicker wearing killer with a cargo hook. Along the way she befriends Detective Bass as he investigates a series of homicides, each with the same M.O. As Hollis gets closer to Luke she discovers some trouble family secrets ensuring she is next to be slain.;The secret of a grisly murder, locked in a child's mind.;AxiYgl_lbdk;/40IFGw9V2d7UAwdsT5NP4ubp33H.jpg;https://image.tmdb.org/t/p/original/40IFGw9V2d7UAwdsT5NP4ubp33H.jpg;15;False;False;True;False;
4036;tt8164558;711271;56;57;0;Child Support;[35];[];2019;83;['Tory Monay', 'Cameron Cottrell', 'Nigel Morris', 'Tristin Fazekas', 'Daris Bass'];['Brandon Cornett'];Child Support;The story of a young man struggling to become a provider for his child and soon finds himself under the attack of a one sided child support system.;;uUxhFbdbzkI;/i4RKyZeHWXVWGG3G8cNkLfxX35s.jpg;https://image.tmdb.org/t/p/original/i4RKyZeHWXVWGG3G8cNkLfxX35s.jpg;-1;False;False;True;False;
4037;tt4819510;381045;70;711;66;Chicken People;[99, 10751];['US'];2016;83;[];['Nicole Lucas Haimes'];Chicken People;The trials and tribulations of those who breed exotic birds in the world of competitive poultry;;;;;;;;;;
4038;tt10944486;682377;47;3573;59;Chick Fight;[28, 35];['US'];2020;98;['Malin Åkerman', 'Bella Thorne', 'Alec Baldwin', 'Dulcé Sloan', 'Fortune Feimster', 'Kevin Connolly', 'Kevin Nash'];['Paul Leyden'];Chick Fight;When Anna Wyncomb is introduced to an underground, all-female fight club in order to turn the mess of her life around, she discovers she is much more personally connected to the history of the club than she could ever imagine.;Hit like a girl.;qHFssXdRGQM;/4ZocdxnOO6q2UbdKye2wgofLFhB.jpg;https://image.tmdb.org/t/p/original/4ZocdxnOO6q2UbdKye2wgofLFhB.jpg;16;False;False;True;False;
4039;tt0995033;28101;39;854;35;Chicago Massacre: Richard Speck;[80, 18, 27];['US'];2007;92;['Corin Nemec', 'Andrew Divoff', 'Tony Todd', 'Debbie Rochon', 'Joanne Chew', 'Amy Lyndon', 'Daniel Bonjour'];['Michael Feifer'];Chicago Massacre: Richard Speck;A thriller film based on a real-life mass murder that took place in 1966. Richard Franklin Speck was a mass murderer who systematically tortured, raped and murdered eight student nurses from South Chicago Community Hospital in 1966.;;;/hFAsW3uyDGIvLITUSp3wf8XFqay.jpg;https://image.tmdb.org/t/p/original/hFAsW3uyDGIvLITUSp3wf8XFqay.jpg;18;False;False;True;False;
4040;tt9699028;618253;39;1021;59;Chiara Ferragni: Unposted;[99];['IT'];2019;85;['Chiara Ferragni', 'Fedez', 'Paris Hilton', 'Delphine Arnault'];['Elisa Amoruso'];Chiara Ferragni: Unposted;Chiara Ferragni, the first fashion influencer in the world, reveals how the digital revolution has changes business world, communication, fashion, culture, through a portrait in which she's the protagonist, both as a woman and as digital entrepreneur.;;;/vsvTefrgs2OPWdi6jKjqwTKMQAJ.jpg;https://image.tmdb.org/t/p/original/vsvTefrgs2OPWdi6jKjqwTKMQAJ.jpg;10;False;False;True;False;
4041;tt3323800;502128;75;64;63;Chi-Town;[99, 5];[];2018;82;[];['Nick Budabin'];Chi-Town;An underdog basketball player from Chicago goes on a meteoric rise to become one of the best college point guards in the nation. But while he pursues dreams of the NBA, his success contrasts with the effects of gun violence on his friends back home.;;;/4Fe2XzMengK9D6AtC2AMM2TS691.jpg;https://image.tmdb.org/t/p/original/4Fe2XzMengK9D6AtC2AMM2TS691.jpg;-1;False;False;True;False;
4042;tt4594834;340275;58;9806;58;Chi-Raq;[35, 80, 18];['US'];2015;127;['Nick Cannon', 'Teyonah Parris', 'Wesley Snipes', 'Angela Bassett', 'Samuel L. Jackson', 'John Cusack', 'Jennifer Hudson'];['Spike Lee'];Chi-Raq;A modern day adaptation of the ancient Greek play Lysistrata by Aristophanes, set against the backdrop of gang violence in Chicago.;No peace. No piece.;FEbeUK4EAbM;/ml3LitMKejwxrYNTQWdwIbyhDeb.jpg;https://image.tmdb.org/t/p/original/ml3LitMKejwxrYNTQWdwIbyhDeb.jpg;18;False;False;True;False;
