index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo
1084;tt2023587;132232;62;175642;62;Mama;[14, 27, 53];['CA', 'ES'];2013;100;['Jessica Chastain', 'Nikolaj Coster-Waldau', 'Megan Charpentier', 'Isabelle Nélisse', 'Daniel Kash', 'Melina Matthews', 'Morgan McGarry'];['Andy Muschietti'];Mama;Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.;A Mother's Love is Forever;I7_CLVoGkgA;/tsWqDsd2XiwXbEaPi4uyVAZgtX0.jpg;https://image.tmdb.org/t/p/original/tsWqDsd2XiwXbEaPi4uyVAZgtX0.jpg;15;False;False;False;True
1085;tt0104797;1883;77;91024;75;Malcolm X;[1, 18, 36];['US'];1992;202;['Denzel Washington', 'Angela Bassett', 'Albert Hall', 'Al Freeman, Jr.', 'Delroy Lindo', 'Spike Lee', 'Theresa Randle'];['Spike Lee'];Malcolm X;A tribute to the controversial black activist and leader of the struggle for black liberation. He hit bottom during his imprisonment in the '50s, he became a Black Muslim and then a leader in the Nation of Islam. His assassination in 1965 left a legacy of self-determination and racial pride.;;sx4sEvhYeVE;/zXn95Y4iZcab4A6bdXgXYxT8eOo.jpg;https://image.tmdb.org/t/p/original/zXn95Y4iZcab4A6bdXgXYxT8eOo.jpg;10;False;False;False;True
1086;tt0033868;38770;69;1298;67;Major Barbara;[35];['GB'];1941;121;['Wendy Hiller', 'Rex Harrison', 'Robert Morley', 'Robert Newton', 'Sybil Thorndike', 'Emlyn Williams', 'Marie Lohr'];['Gabriel Pascal'];Major Barbara;Idealistic young Barbara is the daughter of rich weapons manufacturer Andrew Undershaft. She rebels against her estranged father by joining the Salvation Army. Wooed by professor-turned-preacher Adolphus Cusins, Barbara eventually grows disillusioned with her causes and begins to see things from her father's perspective.;;;/mXQ2uFK6FDurDnmceayGNbj7of3.jpg;https://image.tmdb.org/t/p/original/mXQ2uFK6FDurDnmceayGNbj7of3.jpg;10;False;False;False;True
1087;tt0252076;7303;53;87193;60;Maid in Manhattan;[35, 18, 10749];['US'];2002;105;['Jennifer Lopez', 'Natasha Richardson', 'Ralph Fiennes', 'Stanley Tucci', 'Tyler Posey', 'Frances Conroy', 'Chris Eigeman'];['Wayne Wang'];Maid in Manhattan;Marisa Ventura is a struggling single mom who works at a posh Manhattan hotel and dreams of a better life for her and her young son. One fateful day, hotel guest and senatorial candidate Christopher Marshall meets Marisa and mistakes her for a wealthy socialite. After an enchanting evening together, the two fall madly in love. But when Marisa's true identity is revealed, issues of class and social status threaten to separate them. Can two people from very different worlds overcome their differences and live happily ever after?;;xhtAyshwDFk;/a0xOVDKEWW1nyArKFS3Fg1b4PsE.jpg;https://image.tmdb.org/t/p/original/a0xOVDKEWW1nyArKFS3Fg1b4PsE.jpg;7;False;False;False;True
1088;tt2268016;264999;56;54443;62;Magic Mike XXL;[35, 18, 10402];['US'];2015;115;['Channing Tatum', 'Matt Bomer', 'Joe Manganiello', 'Kevin Nash', 'Adam Rodríguez', 'Jada Pinkett Smith', 'Gabriel Iglesias'];['Gregory Jacobs'];Magic Mike XXL;Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.;Back to the grind.;oLoyU3xYwbs;/eEVaW9GubVYKV2IQNWY3yYF3TFa.jpg;https://image.tmdb.org/t/p/original/eEVaW9GubVYKV2IQNWY3yYF3TFa.jpg;13;False;False;False;True
1089;tt1915581;77930;61;135304;61;Magic Mike;[35, 18];['US'];2012;110;['Channing Tatum', 'Matthew McConaughey', 'Alex Pettyfer', 'Cody Horn', 'Olivia Munn', 'Joe Manganiello', 'Matt Bomer'];['Steven Soderbergh'];Magic Mike;Mike, an experienced stripper, takes a younger performer called The Kid under his wing and schools him in the arts of partying, picking up women, and making easy money.;Work all day. Work it all night.;D07XjD5L_e8;/ablmn5jnKWRx6BZYGx6FJY3RTKe.jpg;https://image.tmdb.org/t/p/original/ablmn5jnKWRx6BZYGx6FJY3RTKe.jpg;14;False;False;False;True
1090;tt1566591;41639;83;1801;78;Magic & Bird: A Courtship of Rivals;[99, 1, 5];['US'];2010;88;['Larry Bird', 'Liev Schreiber', 'Magic Johnson', 'Arsenio Hall', 'Bryant Gumbel'];['Ezra Edelman'];Magic & Bird: A Courtship of Rivals;Magic &amp;;;;;;;;;
1091;tt0455612;16781;53;11153;62;Madea's Family Reunion;[35, 18, 10749];['US'];2006;110;['Tyler Perry', 'Blair Underwood', 'Lynn Whitfield', 'Boris Kodjoe', 'Lisa Arrindell', 'Maya Angelou', 'Rochelle Aytes'];['Tyler Perry'];Madea's Family Reunion;Based upon Tyler Perry's acclaimed stage production, Madea's Family Reunion continues the adventures of Southern matriarch Madea. She has just been court ordered to be in charge of Nikki, a rebellious runaway, her nieces, Lisa and Vanessa, are suffering relationship trouble, and through it all, she has to organize her family reunion.;This February 24, she's expecting you.;;/sEIXFwVWilJYH8Vsndp3TwQVn9Y.jpg;https://image.tmdb.org/t/p/original/sEIXFwVWilJYH8Vsndp3TwQVn9Y.jpg;12;False;False;False;True
1092;tt1787759;51017;48;7922;70;Madea's Big Happy Family;[35, 18];['US'];2011;106;['Tyler Perry', 'Loretta Devine', 'Shad Moss', 'Cassi Davis', 'Shannon Kane', 'Lauren London', 'Rodney Perry'];['Tyler Perry'];Madea's Big Happy Family;When Shirley, Madea's niece, receives distressing news about her health, the only thing she wants is her family gathered around her. However, Shirley's three adult children are too preoccupied with their own troubled lives to pay attention to their mother. It is up to Madea, with the help of rowdy Aunt Bam, to bring the clan together and help Shirley deal with her crisis.;Peace. Love. Harmony. Or Else.;bExi5_p28Mo;/6qWcpqRfUEFrbKdDvB7tg7h1oXz.jpg;https://image.tmdb.org/t/p/original/6qWcpqRfUEFrbKdDvB7tg7h1oXz.jpg;10;False;False;False;True
1093;tt1142800;15670;45;11843;66;Madea Goes to Jail;[35, 80, 18];['US'];2009;103;['Tyler Perry', 'Derek Luke', 'Keshia Knight Pulliam', 'Ion Overman', 'Sofía Vergara', 'Vanessa Ferlito', 'Viola Davis'];['Tyler Perry'];Madea Goes to Jail;After a high-speed car chase, Madea winds up behind bars because her quick temper gets the best of her. Meanwhile, Assistant District Attorney Josh Hardaway lands a case that's too personal to handle: that of a young prostitute and former drug addict named Candace. When Candace winds up in jail, Madea takes the young woman under her protective wing.;Something big is coming to the big house.;61AeW3d3fWo;/7eQaD21ps9apMrStB30ZkYzxfSF.jpg;https://image.tmdb.org/t/p/original/7eQaD21ps9apMrStB30ZkYzxfSF.jpg;13;False;False;False;True
1094;tt0227005;15745;64;18203;61;Made;[35, 80];['US'];2001;94;"['Vince Vaughn', 'Jon Favreau', 'Sean Combs', 'Famke Janssen', 'Peter Falk', 'Faizon Love', ""David O'Hara""]";['Jon Favreau'];Made;Two aspiring boxers and lifelong friends get involved in a money-laundering scheme through a low-level organized crime group.;Welcome to disorganized crime.;jMl_uE9rRuc;/m9duMSgcaT7oqNk66niBpOcfaX2.jpg;https://image.tmdb.org/t/p/original/m9duMSgcaT7oqNk66niBpOcfaX2.jpg;14;False;False;False;True
1095;tt0046022;27030;80;9591;78;Madame de…;[18, 10749];['FR', 'IT'];1953;105;['Charles Boyer', 'Danielle Darrieux', 'Vittorio De Sica', 'Jean Debucourt', 'Jean Galland', 'Mireille Perrey', 'Paul Azaïs'];['Max Ophüls'];The Earrings of Madame de...;In France of the late 19th century, the wife of a wealthy general, the Countess Louise, sells the earrings her husband gave her on their wedding day to pay off debts;;;;;;;;;
1096;tt1392190;76341;81;937731;75;Mad Max: Fury Road;[28, 12, 878];['AU', 'US', 'ZA'];2015;121;['Tom Hardy', 'Charlize Theron', 'Nicholas Hoult', 'Hugh Keays-Byrne', 'Josh Helman', 'Nathan Jones', 'Zoë Kravitz'];['George Miller'];Mad Max: Fury Road;An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.;What a Lovely Day.;MonFNCgK4WE;/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg;https://image.tmdb.org/t/p/original/8tZYtuWezp8JbcsvHYO0O46tFbo.jpg;15;False;False;False;True
1097;tt0089530;9355;63;132193;62;Mad Max Beyond Thunderdome;[28, 12, 878];['AU'];1985;107;['Mel Gibson', 'Tina Turner', 'Helen Buday', 'Bruce Spence', 'Angelo Rossitto', 'Adam Cockburn', 'Frank Thring'];['George Miller', 'George Ogilvie'];Mad Max Beyond Thunderdome;Mad Max becomes a pawn in a decadent oasis of a technological society, and when exiled, becomes the deliverer of a colony of children.;Two men enter. One man leaves.;YOol44WGats;/jJlxcEVVUHnrUeEkQ0077VeHQpb.jpg;https://image.tmdb.org/t/p/original/jJlxcEVVUHnrUeEkQ0077VeHQpb.jpg;12;False;False;False;True
1098;tt0082694;8810;76;173858;74;Mad Max 2;[28, 12, 878];['AU'];1981;96;['Mel Gibson', 'Bruce Spence', 'Michael Preston', 'Max Phipps', 'Vernon Wells', 'Kjell Nilsson', 'Emil Minty'];['George Miller'];Mad Max 2;Max Rockatansky returns as the heroic loner who drives the dusty roads of a postapocalyptic Australian Outback in an unending search for gasoline. Arrayed against him and the other scraggly defendants of a fuel-depot encampment are the bizarre warriors commanded by the charismatic Lord Humungus, a violent leader whose scruples are as barren as the surrounding landscape.;When all that's left is one last chance, pray that he's still out there ... somewhere!;EEjLjUqoU9Y;/5BqvBiRhMAUDAyLvSOcA7fKEMA8.jpg;https://image.tmdb.org/t/p/original/5BqvBiRhMAUDAyLvSOcA7fKEMA8.jpg;17;False;False;False;True
1099;tt1586752;45610;68;65022;67;Machine Gun Preacher;[28, 1, 80];['US'];2011;129;['Gerard Butler', 'Michelle Monaghan', 'Kathy Baker', 'Richard Goteri', 'Peter Carey', 'Barbara Coven', 'Michael Shannon'];['Marc Forster'];Machine Gun Preacher;The true story of Sam Childers, a former drug-dealing biker who finds God and became a crusader for hundreds of Sudanese children who've been kidnapped and pressed into duty as soldiers.;Hope is the greatest weapon of all;BTvoaaE98DE;/A9gRYTyNLGJuxHmqdGM5UxHxJtB.jpg;https://image.tmdb.org/t/p/original/A9gRYTyNLGJuxHmqdGM5UxHxJtB.jpg;16;False;False;False;True
1100;tt2884018;225728;66;54996;65;Macbeth;[18, 36, 10752];['FR', 'GB', 'US'];2015;113;['Michael Fassbender', 'Marion Cotillard', 'Paddy Considine', 'Sean Harris', 'Jack Reynor', 'Elizabeth Debicki', 'David Thewlis'];['Justin Kurzel'];Macbeth;Feature film adaptation of Shakespeare's Scottish play about General Macbeth whose ambitious wife urges him to use wicked means in order to gain power of the throne over the sitting king, Duncan.;All hail Macbeth that shall be king;017nWFKsshY;/fivCMGXkJY29Det2LnItrKM4Cbl.jpg;https://image.tmdb.org/t/p/original/fivCMGXkJY29Det2LnItrKM4Cbl.jpg;15;False;False;False;True
1101;tt0064612;48831;79;12143;78;Ma nuit chez Maud;[35, 18, 10749];['FR'];1969;111;['Jean-Louis Trintignant', 'Françoise Fabian', 'Marie-Christine Barrault', 'Antoine Vitez', 'Léonide Kogan', 'Guy Léger', 'Anne Dubot'];['Éric Rohmer'];My Night at Maud's;The rigid principles of a devout Catholic man are challenged during a one-night stay with Maud, a divorced woman with an outsize personality.;;AKzDv3UAGI8;/eWCXOhHKRTmjN819BdAhpHNjbEn.jpg;https://image.tmdb.org/t/p/original/eWCXOhHKRTmjN819BdAhpHNjbEn.jpg;6;False;False;False;True
