index;imdbID;tmdbID;imdbRating;imdbVoteCount;tmdbRating;originalTitle;genres;countries;year;runtime;cast;significants;title;overview;tagline;video;posterPath;poster_URLs_original;age;netflix;disney;prime;hbo
1535;tt6172460;439059;70;3728;67;Rocko's Modern Life: Static Cling;[16, 6, 28];['US'];2019;45;['Carlos Alazraqui', 'Tom Kenny', 'Charlie Adler', 'Mr. Lawrence', 'Jill Talley', 'Linda Wallem', 'Steve Little'];['Cosmo Segurson', 'Joe Murray'];Rocko's Modern Life: Static Cling;After 20 years in space, Rocko returns to a technologically advanced O-Town and makes it his mission to get his favorite show back on the air.;;cuF9aZxoipE;/k65BZ0njzoTXhJFeXhIZt6owqDI.jpg;https://image.tmdb.org/t/p/original/k65BZ0njzoTXhJFeXhIZt6owqDI.jpg;5;True;False;False;False
1536;tt3164256;253414;55;11759;54;Rock the Kasbah;[35, 10402, 10752];['MA', 'US'];2015;100;['Bill Murray', 'Zooey Deschanel', 'Bruce Willis', 'Kate Hudson', 'Taylor Kinney', 'Danny McBride', 'Scott Caan'];['Barry Levinson'];Rock the Kasbah;A washed-up music producer finds one last shot at redemption with a golden-voiced young girl in Afghanistan. However, when jealousy gets the better of a disgruntled ex-boyfriend, he decides to oppose the young star with talent of his own.;Opportunity rocks where you least expect it.;HOV14l58Ekg;/yzqhwsExzS5AMSQvkjYtryKAwYv.jpg;https://image.tmdb.org/t/p/original/yzqhwsExzS5AMSQvkjYtryKAwYv.jpg;14;True;False;False;False
1537;tt1230165;19672;77;21615;70;Rock On!!;[18, 10402];['IN'];2008;144;['Farhan Akhtar', 'Arjun Rampal', 'Purab Kohli', 'Luke Kenny', 'Prachi Desai', 'Shahana Goswami', 'Koel Purie'];['Abhishek Kapoor'];Rock On!!;Aditya, Joe, Kedar and Rob form a rock band, but break up after they fail to make a success of it. They establish regular lives until they decide to reunite and take another shot at fulfilling their dreams.;Live Your Dream;P7aJlKdHgWY;/iQrGUYVuaQsFoEwfDtzPWLBiku.jpg;https://image.tmdb.org/t/p/original/iQrGUYVuaQsFoEwfDtzPWLBiku.jpg;8;True;False;False;False
1538;tt5788462;416148;57;3809;57;Rocco;[99];['FR'];2016;105;['Rocco Siffredi', 'Kelly Stafford', 'Rosa Caracciolo', 'Gabriele Galetta', 'Mark Spiegler', 'John Stagliano', 'Abella Danger'];['Thierry Demaizière', 'Alban Teurlai'];Rocco;Rocco Siffredi is to pornography what Mike Tyson is to boxing or Mick Jagger is to rock’n’roll: a living legend. His mother wanted him to be a priest;;;;;;;;;
1539;tt0102798;8367;69;186740;68;Robin Hood: Prince of Thieves;[28, 12, 18];['US'];1991;143;['Kevin Costner', 'Morgan Freeman', 'Mary Elizabeth Mastrantonio', 'Alan Rickman', 'Christian Slater', 'Geraldine McEwan', 'Michael McShane'];['Kevin Reynolds'];Robin Hood: Prince of Thieves;When the dastardly Sheriff of Nottingham murders Robin's father, the legendary archer vows vengeance. To accomplish his mission, Robin joins forces with a band of exiled villagers (and comely Maid Marian), and together they battle to end the evil sheriff's reign of terror.;Sometimes the only way to uphold justice...is to break the law.;fhz5aB-u77Q;/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg;https://image.tmdb.org/t/p/original/hbRnWUNJkKKVN5mkcuC5ooqjE4e.jpg;9;True;False;False;False
1540;tt12724632;725082;55;698;63;Rob Schneider: Asian Momma, Mexican Kids;[35];['US'];2020;44;['Rob Schneider', 'Elle King'];['Tyler Spindel'];Rob Schneider: Asian Momma, Mexican Kids;"Former ""Saturday Night Live"" star Rob Schneider returns to the stage and shares his take on life, love and dinosaur dreams in this stand-up special. Ending with a surprise duet performance with his daughter, singer-songwriter Elle King, Rob talks about potty training his young daughters and his own pig potential.";;x0h2qlZNY2A;/qIw7kN9s5HVZjR7Nphbck9DYNpn.jpg;https://image.tmdb.org/t/p/original/qIw7kN9s5HVZjR7Nphbck9DYNpn.jpg;17;True;False;False;False
1541;tt1319733;20618;49;11757;54;Road Trip: Beer Pong;[35];['US'];2009;96;['DJ Qualls', 'Mary Cobb', 'Nestor Aaron Absera', 'Preston Jones', 'Julianna Guill', 'Rhoda Griffis', 'Daniel Newman'];['Steve Rash'];Road Trip: Beer Pong;It’s Road Trip - Beer Pong! Three college roommates are on the ride of their lives when they drop everything to join a bus full of sexy, scantily clad models to compete in the ultimate sport competition: the National Beer Pong Tournament.;;xZpM7P7WU0E;/5rt2xl4w23Zr5Gw6cuHWxZjP04h.jpg;https://image.tmdb.org/t/p/original/5rt2xl4w23Zr5Gw6cuHWxZjP04h.jpg;16;True;False;False;False
1542;tt10319998;601781;73;119;90;River, el más grande siempre;[99, 5];['AR'];2019;100;['Amadeo Carrizo', 'Daniel Onega', 'Ariel Ortega', 'Pablo Aimar', 'Ramón Díaz', 'Norberto Alonso', 'Enzo Francescoli'];['Mariano Mucci', 'Luis Alberto Scalella', 'Marcelo Altmark'];River, el más grande siempre;Documentary that tells the history of River from its beginnings, and its development as an institution, the Monumental, the club, its social work, and the sporting successes, from its beginnings until these last two years and five cups.;;N6uOi8r_MoA;/i6iIX4t7IKJ7vflAdWuZSaGmoZ9.jpg;https://image.tmdb.org/t/p/original/i6iIX4t7IKJ7vflAdWuZSaGmoZ9.jpg;0;True;False;False;False
1543;tt10741846;776526;77;484;53;Rita Moreno: Just a Girl Who Decided to Go for It;[99, 1];['US'];2021;90;['Rita Moreno', 'Lin-Manuel Miranda', 'Morgan Freeman', 'Whoopi Goldberg', 'Eva Longoria', 'Justina Machado', 'Gloria Estefan'];['Mariem Pérez Riera'];Rita Moreno: Just a Girl Who Decided to Go for It;Rita Moreno defied both her humble upbringing and relentless racism to become one of a select group who have won an Emmy, Grammy, Oscar and Tony Award. Over a seventy year career, she has paved the way for Hispanic-American performers by refusing to be pigeonholed into one-dimensional stereotypes.;;t84GEdvTLVQ;/gWZsBiQtmxN94hXdXfo0PfMMJzT.jpg;https://image.tmdb.org/t/p/original/gWZsBiQtmxN94hXdXfo0PfMMJzT.jpg;14;True;False;False;False
1544;tt10851618;726887;81;1581;82;Rising Phoenix;[99, 5];['GB'];2020;105;['Bebe Vio', 'Tatyana McFadden', 'Jonnie Peacock', 'Jean Baptiste Alaize', 'Prince Harry', 'Ellie Cole', 'Philippa Thomas'];['Peter Ettedgui', 'Ian Bonhôte'];Rising Phoenix;The history and current standing of the Paralympic Games, which has grown to become the world's third largest sporting event.;;#NOM?;/oso09gID2bFk9q3Cni8GNOuzTWZ.jpg;https://image.tmdb.org/t/p/original/oso09gID2bFk9q3Cni8GNOuzTWZ.jpg;12;True;False;False;False
