source,target,value
tt0164912,tt0338094,30.0
tt0243585,tt0164912,31.11111111111111
tt0243585,tt0110357,15.0
tt0243585,tt0338094,30.0
tt0110357,tt0338094,15.0
tt2080374,tt1924429,30.0
tt0473705,tt5278930,30.0
tt0111282,tt0111282,31.428571428571427
tt0111282,tt0319262,30.0
tt0486655,tt1270798,30.0
tt0120177,tt1978567,15.0
tt0491152,tt0255798,30.0
tt3776288,tt0785077,30.0
tt0417148,tt0417148,31.428571428571427
tt6964940,tt12969826,30.0
tt3120280,tt11080108,30.0
tt4633690,tt0882977,30.0
tt0240890,tt0358135,30.0
tt0795461,tt0279493,30.0
tt1615065,tt0469641,30.0
tt1615065,tt0091886,30.0
tt1615065,tt0091763,30.0
tt1615065,tt0094291,30.0
tt1615065,tt0101761,30.0
tt1615065,tt0110632,30.0
tt0469641,tt0091886,30.0
tt0469641,tt0091763,30.0
tt0469641,tt0094291,30.0
tt0469641,tt0101761,30.0
tt0469641,tt0110632,30.0
tt0091886,tt0091763,30.0
tt0091886,tt0094291,30.0
tt0091886,tt0101761,30.0
tt0091886,tt0110632,30.0
tt0091763,tt0094291,30.76923076923077
tt0091763,tt0101761,30.0
tt0091763,tt0110632,30.0
tt0094291,tt0101761,30.0
tt0094291,tt0110632,30.0
tt0101761,tt0110632,30.0
tt1230168,tt1230168,31.428571428571427
tt1742334,tt1386697,30.0
tt1979320,tt0096446,30.0
tt1979320,tt3778644,30.0
tt0096446,tt3778644,30.0
tt0398375,tt0093779,30.0
tt0398375,tt1839654,30.0
tt0398375,tt5540992,30.0
tt0093779,tt1839654,30.0
tt0093779,tt5540992,30.0
tt0093779,tt0093779,31.428571428571427
tt1839654,tt5540992,30.0
tt1839654,tt0093779,30.0
tt5540992,tt0093779,30.0
tt7983744,tt5266668,31.11111111111111
tt3164256,tt1132623,30.0
tt3164256,tt1933667,30.0
tt3164256,tt2388986,30.0
tt1132623,tt1933667,30.0
tt1132623,tt2388986,30.76923076923077
tt1933667,tt2388986,30.0
tt9866736,tt13087910,30.0
tt9866736,tt5364878,30.0
tt13087910,tt5364878,30.0
tt6547170,tt1925479,30.0
tt6547170,tt3480796,30.833333333333336
tt6547170,tt1085492,30.76923076923077
tt1925479,tt3480796,30.0
tt1925479,tt1085492,30.0
tt3480796,tt1085492,30.76923076923077
tt7991608,tt1723121,30.0
tt5274066,tt5274066,31.428571428571427
tt2008633,tt2304953,30.0
tt7689964,tt11092594,15.769230769230768
tt0102744,tt0117331,30.0
tt0102744,tt0318850,30.0
tt0102744,tt0114048,30.0
tt0117331,tt0318850,30.0
tt0117331,tt0114048,30.0
tt0318850,tt0114048,30.0
tt0448694,tt0413267,30.76923076923077
tt7322864,tt1544572,30.76923076923077
tt7322864,tt2999390,30.0
tt7322864,tt2414212,30.76923076923077
tt7322864,tt1328875,30.0
tt1544572,tt2999390,30.0
tt1544572,tt2414212,30.0
