id,group,popu,year,label,duration,plateform,country,rating,link,size
tt0283084,18,3.2998583295769417,2002,Tuck Everlasting,90,['Disney +'],North America,66,https://image.tmdb.org/t/p/original/9BXAC4uTHuD37hpiGOmhetqNgnO.jpg,32
tt0084827,28,3.399971057795029,1982,Tron,96,['Disney +'],North America,68,https://image.tmdb.org/t/p/original/zwSFEczP7AzqugAHHIX3zHniT0t.jpg,35
tt0075347,12,3.0957388322865182,1976,Treasure of Matecumbe,117,['Disney +'],North America,62,https://image.tmdb.org/t/p/original/nQ7Njbwd3GbvxEXfKPczohhhC1M.jpg,26
tt0133240,16,3.599967473945275,2002,Treasure Planet,95,['Disney +'],North America,72,https://image.tmdb.org/t/p/original/qKpxGBkksllc2oe6Y0YDKc1A232.jpg,43
tt0043067,12,3.4495629315265237,1950,Treasure Island,96,['Disney +'],Europe,69,https://image.tmdb.org/t/p/original/yfUtFh0MYiI7Ze7w3qHPmELaaad.jpg,37
tt2446040,16,3.749749507364577,2013,Toy Story of Terror!,22,['Disney +'],North America,75,https://image.tmdb.org/t/p/original/oPBEnNP4Fg4gv9c0KBhchmtoG4H.jpg,51
tt1979376,16,3.8499829904547727,2019,Toy Story 4,100,['Disney +'],North America,77,https://image.tmdb.org/t/p/original/w9kR8qbmQ01HwnvK4alvnQ2ca0L.jpg,56
tt0435761,16,4.0999948233728505,2010,Toy Story 3,103,['Disney +'],North America,82,https://image.tmdb.org/t/p/original/4cpGytCB0eqvRks4FAlJoUJiFPG.jpg,72
tt0120363,16,3.9499928469306544,1999,Toy Story 2,92,['Disney +'],North America,79,https://image.tmdb.org/t/p/original/xVhEI1WCgNCCa5I86AqiwuZoog3.jpg,62
tt0112302,12,2.7497389529642664,1995,Tom and Huck,97,['Disney +'],North America,55,https://image.tmdb.org/t/p/original/vIG8hWOa7DyLMRiurzKwVAnIYoU.jpg,18
tt5116302,12,3.9999090009441187,2019,Togo,113,['Disney +'],North America,80,https://image.tmdb.org/t/p/original/wX0QD36a80hxulcizz7tyahYOF8.jpg,65
tt2483260,16,3.2997427803111323,2014,Tinker Bell and the Pirate Fairy,78,['Disney +'],North America,66,https://image.tmdb.org/t/p/original/qZLBe9Z8Y6WSDVqbqTQJUf8V1mp.jpg,32
tt1216516,16,3.3496783639770116,2009,Tinker Bell and the Lost Treasure,81,['Disney +'],Asia,67,https://image.tmdb.org/t/p/original/hg1959yuBkHb4BKbIvETQSfxGCT.jpg,34
tt3120408,16,3.5995623898382583,2014,Tinker Bell and the Legend of the NeverBeast,77,['Disney +'],North America,72,https://image.tmdb.org/t/p/original/jSQOB7rrvauqyqAizbELsA0SZ2a.jpg,43
tt0823671,16,3.3997390536859946,2008,Tinker Bell,78,['Disney +'],Asia,68,https://image.tmdb.org/t/p/original/3Ma0r1n8kfH7UaQMS7bJ9KsYUjT.jpg,35
tt6820324,12,3.0488730833307605,2020,Timmy Failure: Mistakes Were Made,99,['Disney +'],North America,61,https://image.tmdb.org/t/p/original/9Ic99kyJewgPHwl4JftJSwzUmtD.jpg,25
tt0111419,16,3.1998055715892084,1994,Thumbelina,87,['Disney +'],North America,64,https://image.tmdb.org/t/p/original/eBvSSfwAKgcjF4eyaeNSzTCpfaF.jpg,29
tt0301935,18,3.496639462572266,2001,Three Days,91,['Disney +'],North America,70,https://image.tmdb.org/t/p/original/gAxVMBz3mueFJqbxISwJ7ejN5u6.jpg,39
tt1981115,28,3.39999464501573,2013,Thor: The Dark World,112,['Disney +'],North America,68,https://image.tmdb.org/t/p/original/wp6OxE4poJ4G7c0U2ZIXasTSMR7.jpg,35
