id,group,popu,year,label,duration,plateform,country,rating,link
tt7923220,9648,2.749760838370373,2020,Inheritance,110,"['Netflix', 'HBO']",North America,55,https://image.tmdb.org/t/p/original/l13mt3oHErSkkqJbN1bjzgtK0Vq.jpg
tt0420609,1,3.4997931625447523,2006,Infamous,110,"['Netflix', 'HBO']",North America,70,https://image.tmdb.org/t/p/original/cIQUn20lUQpi70W0Z7ixezQJ7gj.jpg
tt0116629,28,3.499993661148546,1996,Independence Day,145,"['Netflix', 'HBO']",North America,70,https://image.tmdb.org/t/p/original/p0BPQGSPoSa8Ml0DAf2mB2kCU0R.jpg
tt1375666,28,4.399997994513628,2010,Inception,148,"['Netflix', 'HBO']",Europe,88,https://image.tmdb.org/t/p/original/9gk7adHYeDvHkCSEqAvQNLV5Uge.jpg
tt13648230,99,3.845671726144716,2021,In the Same Breath,98,"['Netflix', 'HBO']",Asia,77,https://image.tmdb.org/t/p/original/36iasJftRB0t0LA38d3HEiZSG4m.jpg
tt1321510,18,3.6999006244544477,2021,In the Heights,143,"['Netflix', 'HBO']",North America,74,https://image.tmdb.org/t/p/original/RO4KoJyoQMQzh9z76d4v4FJMmJ.jpg
tt1390411,28,3.449973764557819,2015,In the Heart of the Sea,122,"['Netflix', 'HBO']",Europe,69,https://image.tmdb.org/t/p/original/gLZEULfcS3uhfWDSEclOUgWiN41.jpg
tt0034891,18,3.5993495347384217,1942,In Which We Serve,115,"['Netflix', 'HBO']",Europe,72,https://image.tmdb.org/t/p/original/nBpx9srdlUHywZrVP7XRTFvmkL5.jpg
tt0113399,18,3.59739978342836,1995,In Pursuit of Honor,111,"['Netflix', 'HBO']",North America,72,https://image.tmdb.org/t/p/original/wQfP0juGwqU6ZiXvC0MsnSwnQld.jpg
tt0119360,35,3.199921388476046,1997,In & Out,90,"['Netflix', 'HBO']",North America,64,https://image.tmdb.org/t/p/original/jUTQp6cPgfOX4St2WfaeUvxZCts.jpg
tt9208444,35,2.8995083495815797,2020,Impractical Jokers: The Movie,92,"['Netflix', 'HBO']",North America,58,https://image.tmdb.org/t/p/original/kTHzM6pPIjs4LHX33thyZpnKiOP.jpg
tt0160399,9648,3.0998670811448377,2001,Impostor,102,"['Netflix', 'HBO']",North America,62,https://image.tmdb.org/t/p/original/7Uy4JbalP0mEyKnFW2IorQDmbBa.jpg
tt4781612,1,3.2499270654503456,2016,Imperium,109,"['Netflix', 'HBO']",North America,65,https://image.tmdb.org/t/p/original/7Ux4vzgFY6dPx4QkqjejgokoG02.jpg
tt0780567,35,2.799807009684055,2009,Imagine That,107,"['Netflix', 'HBO']",North America,56,https://image.tmdb.org/t/p/original/lyCTP5C3raH46hJNS9WfBSnWHsG.jpg
tt0071910,18,3.3497330783635526,1974,Il portiere di notte,118,"['Netflix', 'HBO']",Europe,67,https://image.tmdb.org/t/p/original/qrUtVZB0yTCzfz4DdmsKRdmjtFQ.jpg
tt0058003,18,3.7997462013692713,1964,Il deserto rosso,117,"['Netflix', 'HBO']",Europe,76,https://image.tmdb.org/t/p/original/rGcTVdyhaGzMxPPRVApXre6F7SD.jpg
tt0465502,16,2.9998703291478668,2008,Igor,87,"['Netflix', 'HBO']",North America,60,https://image.tmdb.org/t/p/original/mI4SPs0bZQm7bGVZKToC8KUsTd.jpg
tt0280760,35,3.4498951319969073,2002,Igby Goes Down,97,"['Netflix', 'HBO']",North America,69,https://image.tmdb.org/t/p/original/f53JBgzYESamcYT3LkUeeoSXPgi.jpg
tt6963760,99,3.7422279820595024,2017,"If You're Not In The Obit, Eat Breakfast",90,"['Netflix', 'HBO']",North America,75,https://image.tmdb.org/t/p/original/9kSi7Np5A9wV1kJG52egtFcFWSz.jpg
tt15141288,14,3.397296222806559,2021,"If I Can’t Have Love, I Want Power",53,"['Netflix', 'HBO']",North America,68,https://image.tmdb.org/t/p/original/glVOKhboA12EIkAbc17rMlBccJ5.jpg
tt2024432,35,2.849978028501274,2013,Identity Thief,111,"['Netflix', 'HBO']",North America,57,https://image.tmdb.org/t/p/original/lIliJCGoWT6tEVaDivLpXEf038w.jpg
tt6341668,18,2.9459726968716473,2018,Icebox,86,"['Netflix', 'HBO']",North America,59,https://image.tmdb.org/t/p/original/sTlXEkcB865C6FCaJyFBRV4kixa.jpg
tt9114472,99,3.747489119611749,2019,Ice on Fire,98,"['Netflix', 'HBO']",North America,75,https://image.tmdb.org/t/p/original/9xWrasURZTWbSiulhyxCmJlYTkD.jpg
tt0063121,12,3.299665704300544,1968,Ice Station Zebra,148,"['Netflix', 'HBO']",North America,66,https://image.tmdb.org/t/p/original/xLCOP8dRDTxHslUMXErJTgdb6SJ.jpg
tt0034881,35,3.5495460648302326,1942,I Married a Witch,74,"['Netflix', 'HBO']",North America,71,https://image.tmdb.org/t/p/original/je47It0cpuFzM7wUReWlUQX0vXY.jpg
tt1385912,35,2.2997683436573446,2009,I Can Do Bad All By Myself,113,"['Netflix', 'HBO']",North America,46,https://image.tmdb.org/t/p/original/eWgQ40mrijQCiyr4J0mhc8BT8Bp.jpg
tt1464540,28,3.0499869196113627,2011,I Am Number Four,109,"['Netflix', 'HBO']",North America,61,https://image.tmdb.org/t/p/original/1YmVv4v6CtKmwvzaQe4xiZwQF1u.jpg
tt0480249,28,3.599994993327914,2007,I Am Legend,101,"['Netflix', 'HBO']",North America,72,https://image.tmdb.org/t/p/original/iPDkaSdKk2jRLTM65UOEoKtsIZ8.jpg
tt6794374,99,3.8438547499091102,2017,I Am Evidence,89,"['Netflix', 'HBO']",North America,77,https://image.tmdb.org/t/p/original/vnBGSetPiElPscSvj8X3oM4A8oL.jpg
tt7165804,18,2.721132050092347,2020,Huracán,103,"['Netflix', 'HBO']",North America,56,https://image.tmdb.org/t/p/original/maXz0GtXlCA8XqEUgXqI0NOC8l3.jpg
tt1334537,35,2.9994844917960966,2009,Humpday,94,"['Netflix', 'HBO']",North America,60,https://image.tmdb.org/t/p/original/wuIfR36c4u8b385nGp9e8L2NTVH.jpg
